Gene.symbol,adj.P.Val,negLog
PACS2,4.12E-01,0.385102784
PCDHB14,4.12E-01,0.385102784
RBPJL,4.12E-01,0.385102784
REM1,4.12E-01,0.385102784
SLC30A4,4.12E-01,0.385102784
SNORA71B,4.12E-01,0.385102784
TRIM10,4.12E-01,0.385102784
XPNPEP3,4.12E-01,0.385102784
AGPAT2,4.13E-01,0.384049948
ARID3A,4.13E-01,0.384049948
CISD3,4.13E-01,0.384049948
CSAD,4.13E-01,0.384049948
GTF2H3,4.13E-01,0.384049948
HSPB11,4.13E-01,0.384049948
MED14,4.13E-01,0.384049948
MT1H,4.13E-01,0.384049948
OAS1,4.13E-01,0.384049948
PYCR1,4.13E-01,0.384049948
RAB8B,4.13E-01,0.384049948
RBKS,4.13E-01,0.384049948
SERF2,4.13E-01,0.384049948
TMEM132A,4.13E-01,0.384049948
TMEM2,4.13E-01,0.384049948
AIMP2,4.14E-01,0.382999659
CD34,4.14E-01,0.382999659
CLEC7A,4.14E-01,0.382999659
DUSP9,4.14E-01,0.382999659
EPN3,4.14E-01,0.382999659
FABP1,4.14E-01,0.382999659
KCNJ1,4.14E-01,0.382999659
KRT19,4.14E-01,0.382999659
KRTAP5-10,4.14E-01,0.382999659
LOC151174,4.14E-01,0.382999659
LRRC34,4.14E-01,0.382999659
MAFF,4.14E-01,0.382999659
PEMT,4.14E-01,0.382999659
RPL7,4.14E-01,0.382999659
SENP3,4.14E-01,0.382999659
SETX,4.14E-01,0.382999659
SNORA54,4.14E-01,0.382999659
SNORD113-5,4.14E-01,0.382999659
TCF12,4.14E-01,0.382999659
TRIM3,4.14E-01,0.382999659
UBXN11,4.14E-01,0.382999659
UPP1,4.14E-01,0.382999659
USP35,4.14E-01,0.382999659
ZNF699,4.14E-01,0.382999659
CLEC4F,4.15E-01,0.381951903
FAM47A,4.15E-01,0.381951903
HS3ST3B1,4.15E-01,0.381951903
IGSF3,4.15E-01,0.381951903
KRTAP21-3,4.15E-01,0.381951903
LINC01420,4.15E-01,0.381951903
MRGPRX3,4.15E-01,0.381951903
NBPF10,4.15E-01,0.381951903
PCK2,4.15E-01,0.381951903
PGA3,4.15E-01,0.381951903
PRAMEF2,4.15E-01,0.381951903
RELT,4.15E-01,0.381951903
SERTM1,4.15E-01,0.381951903
SNORD42A,4.15E-01,0.381951903
TCIRG1,4.15E-01,0.381951903
ABCB9,4.16E-01,0.380906669
ACSL6,4.16E-01,0.380906669
ADARB2,4.16E-01,0.380906669
AGAP2,4.16E-01,0.380906669
BRAP,4.16E-01,0.380906669
BRIX1,4.16E-01,0.380906669
C5orf45,4.16E-01,0.380906669
CACNG4,4.16E-01,0.380906669
CALM3,4.16E-01,0.380906669
CDCP2,4.16E-01,0.380906669
CHML,4.16E-01,0.380906669
CSTF1,4.16E-01,0.380906669
DDB1,4.16E-01,0.380906669
DKFZP564C152,4.16E-01,0.380906669
FBXO9,4.16E-01,0.380906669
GRB14,4.16E-01,0.380906669
HEATR2,4.16E-01,0.380906669
ITGA4,4.16E-01,0.380906669
JAKMIP1,4.16E-01,0.380906669
KRT79,4.16E-01,0.380906669
LINC00028,4.16E-01,0.380906669
LINC00347,4.16E-01,0.380906669
LOC643802,4.16E-01,0.380906669
MED27,4.16E-01,0.380906669
MEN1,4.16E-01,0.380906669
MRPS10,4.16E-01,0.380906669
OR4D1,4.16E-01,0.380906669
OR6C76,4.16E-01,0.380906669
PAX6,4.16E-01,0.380906669
PDXDC2P,4.16E-01,0.380906669
PNLIPRP3,4.16E-01,0.380906669
PTPN2,4.16E-01,0.380906669
PTPRZ1,4.16E-01,0.380906669
R3HCC1L,4.16E-01,0.380906669
RXRA,4.16E-01,0.380906669
S100A7L2,4.16E-01,0.380906669
SCN5A,4.16E-01,0.380906669
SLC25A21-AS1,4.16E-01,0.380906669
SLC25A53,4.16E-01,0.380906669
SLC6A12,4.16E-01,0.380906669
SNX24,4.16E-01,0.380906669
SOGA1,4.16E-01,0.380906669
SUV420H1,4.16E-01,0.380906669
TMEM92,4.16E-01,0.380906669
UBE2J2,4.16E-01,0.380906669
AATF,4.17E-01,0.379863945
DPPA2P3,4.17E-01,0.379863945
DUS2,4.17E-01,0.379863945
EIF4EBP1,4.17E-01,0.379863945
ENAH,4.17E-01,0.379863945
FAM26F,4.17E-01,0.379863945
FOXK1,4.17E-01,0.379863945
GBP5,4.17E-01,0.379863945
GGCX,4.17E-01,0.379863945
GPR20,4.17E-01,0.379863945
GSTA2,4.17E-01,0.379863945
ITPK1-AS1,4.17E-01,0.379863945
KCNJ1,4.17E-01,0.379863945
LGALS9B,4.17E-01,0.379863945
LPAR4,4.17E-01,0.379863945
MIR181A2,4.17E-01,0.379863945
MSH5,4.17E-01,0.379863945
NDUFS1,4.17E-01,0.379863945
NGF,4.17E-01,0.379863945
OR14I1,4.17E-01,0.379863945
OR2A1,4.17E-01,0.379863945
OR5P3,4.17E-01,0.379863945
PTRH1,4.17E-01,0.379863945
RNF135,4.17E-01,0.379863945
RPUSD4,4.17E-01,0.379863945
SSX2IP,4.17E-01,0.379863945
TMC2,4.17E-01,0.379863945
TRAPPC11,4.17E-01,0.379863945
TRAPPC9,4.17E-01,0.379863945
WNT2,4.17E-01,0.379863945
XDH,4.17E-01,0.379863945
ZFP64,4.17E-01,0.379863945
ZNF180,4.17E-01,0.379863945
ZNF44,4.17E-01,0.379863945
ZNF483,4.17E-01,0.379863945
ZNF815P,4.17E-01,0.379863945
ZNF821,4.17E-01,0.379863945
AFAP1,4.18E-01,0.378823718
AMY2A,4.18E-01,0.378823718
CIDEB,4.18E-01,0.378823718
CSAD,4.18E-01,0.378823718
CXCL6,4.18E-01,0.378823718
FAIM,4.18E-01,0.378823718
FAM20B,4.18E-01,0.378823718
LDB3,4.18E-01,0.378823718
LINC00086,4.18E-01,0.378823718
LRRC19,4.18E-01,0.378823718
LYPD1,4.18E-01,0.378823718
NSL1,4.18E-01,0.378823718
OR4D11,4.18E-01,0.378823718
OR4N5,4.18E-01,0.378823718
PDPK1,4.18E-01,0.378823718
PIGN,4.18E-01,0.378823718
PSMD12,4.18E-01,0.378823718
RAB27B,4.18E-01,0.378823718
RALY,4.18E-01,0.378823718
RPL37,4.18E-01,0.378823718
SIGLEC11,4.18E-01,0.378823718
TTLL1,4.18E-01,0.378823718
ZNF626,4.18E-01,0.378823718
AGGF1,4.19E-01,0.377785977
BARHL1,4.19E-01,0.377785977
BYSL,4.19E-01,0.377785977
CD59,4.19E-01,0.377785977
CDH13,4.19E-01,0.377785977
CROT,4.19E-01,0.377785977
DDO,4.19E-01,0.377785977
DONSON,4.19E-01,0.377785977
EIF4E3,4.19E-01,0.377785977
ELF2,4.19E-01,0.377785977
ERICH6,4.19E-01,0.377785977
FAM69C,4.19E-01,0.377785977
FLVCR1-AS1,4.19E-01,0.377785977
FOXP1,4.19E-01,0.377785977
GRIN2D,4.19E-01,0.377785977
HSD11B2,4.19E-01,0.377785977
HULC,4.19E-01,0.377785977
IFT122,4.19E-01,0.377785977
KLK5,4.19E-01,0.377785977
LYZL6,4.19E-01,0.377785977
MAEL,4.19E-01,0.377785977
MASP1,4.19E-01,0.377785977
NDUFA10,4.19E-01,0.377785977
NTNG2,4.19E-01,0.377785977
P4HTM,4.19E-01,0.377785977
PROSER2,4.19E-01,0.377785977
PRR23A,4.19E-01,0.377785977
SIGLEC6,4.19E-01,0.377785977
SPPL2C,4.19E-01,0.377785977
STX6,4.19E-01,0.377785977
TPST1,4.19E-01,0.377785977
WRNIP1,4.19E-01,0.377785977
ZNF789,4.19E-01,0.377785977
C9orf16,4.20E-01,0.37675071
CNTNAP2,4.20E-01,0.37675071
FATE1,4.20E-01,0.37675071
IL36RN,4.20E-01,0.37675071
KREMEN2,4.20E-01,0.37675071
MAGEA6,4.20E-01,0.37675071
MIB2,4.20E-01,0.37675071
PGA5,4.20E-01,0.37675071
RALA,4.20E-01,0.37675071
ANKRD18A,4.21E-01,0.375717904
APOBEC3C,4.21E-01,0.375717904
C3orf56,4.21E-01,0.375717904
ELF4,4.21E-01,0.375717904
HOTTIP,4.21E-01,0.375717904
ING2,4.21E-01,0.375717904
LRRK2,4.21E-01,0.375717904
MIR1471,4.21E-01,0.375717904
MRPL12,4.21E-01,0.375717904
MZT1,4.21E-01,0.375717904
NEK6,4.21E-01,0.375717904
NFAT5,4.21E-01,0.375717904
RAB24,4.21E-01,0.375717904
TNFRSF18,4.21E-01,0.375717904
WNK4,4.21E-01,0.375717904
YEATS2,4.21E-01,0.375717904
AMELX,4.22E-01,0.374687549
CIDEA,4.22E-01,0.374687549
DLX1,4.22E-01,0.374687549
GLI3,4.22E-01,0.374687549
HDAC8,4.22E-01,0.374687549
IGF2,4.22E-01,0.374687549
NALCN,4.22E-01,0.374687549
NSUN5,4.22E-01,0.374687549
PIGP,4.22E-01,0.374687549
PMM1,4.22E-01,0.374687549
SHISA7,4.22E-01,0.374687549
SLC16A2,4.22E-01,0.374687549
SNX16,4.22E-01,0.374687549
TACC1,4.22E-01,0.374687549
TERF1,4.22E-01,0.374687549
WBP2NL,4.22E-01,0.374687549
CPPED1,4.23E-01,0.373659633
FAM127C,4.23E-01,0.373659633
FBXO44,4.23E-01,0.373659633
GDAP1,4.23E-01,0.373659633
GDE1,4.23E-01,0.373659633
GGA1,4.23E-01,0.373659633
HMOX2,4.23E-01,0.373659633
MOBP,4.23E-01,0.373659633
NTSR1,4.23E-01,0.373659633
PIK3R6,4.23E-01,0.373659633
POLR1B,4.23E-01,0.373659633
PPAPDC1B,4.23E-01,0.373659633
PRKCQ-AS1,4.23E-01,0.373659633
RFPL4A,4.23E-01,0.373659633
SLC7A5P1,4.23E-01,0.373659633
SPDYE1,4.23E-01,0.373659633
ARHGAP29,4.24E-01,0.372634143
CARD17,4.24E-01,0.372634143
DNAH12,4.24E-01,0.372634143
ECH1,4.24E-01,0.372634143
GNA12,4.24E-01,0.372634143
HECTD2,4.24E-01,0.372634143
IGFL3,4.24E-01,0.372634143
IKZF1,4.24E-01,0.372634143
KRTAP20-3,4.24E-01,0.372634143
MLC1,4.24E-01,0.372634143
NSUN5,4.24E-01,0.372634143
PODXL2,4.24E-01,0.372634143
PTPN14,4.24E-01,0.372634143
SEC24B,4.24E-01,0.372634143
TCF12,4.24E-01,0.372634143
TIMM21,4.24E-01,0.372634143
TTC9B,4.24E-01,0.372634143
TVP23B,4.24E-01,0.372634143
ZNF285,4.24E-01,0.372634143
ZNF32,4.24E-01,0.372634143
C6orf1,4.25E-01,0.37161107
CASP9,4.25E-01,0.37161107
DAZL,4.25E-01,0.37161107
DDRGK1,4.25E-01,0.37161107
DOCK5,4.25E-01,0.37161107
FAM109B,4.25E-01,0.37161107
GUCY2F,4.25E-01,0.37161107
IL12B,4.25E-01,0.37161107
KIF18A,4.25E-01,0.37161107
LILRA4,4.25E-01,0.37161107
MEG3,4.25E-01,0.37161107
MSH5,4.25E-01,0.37161107
NEDD1,4.25E-01,0.37161107
PLXNA1,4.25E-01,0.37161107
SLC29A4,4.25E-01,0.37161107
TNPO1,4.25E-01,0.37161107
WDR18,4.25E-01,0.37161107
ZBED5,4.25E-01,0.37161107
AAK1,4.26E-01,0.370590401
ACKR3,4.26E-01,0.370590401
AKR1A1,4.26E-01,0.370590401
BMP8A,4.26E-01,0.370590401
BOLA3,4.26E-01,0.370590401
BRICD5,4.26E-01,0.370590401
CD1D,4.26E-01,0.370590401
CFAP58,4.26E-01,0.370590401
CHRFAM7A,4.26E-01,0.370590401
COG1,4.26E-01,0.370590401
CSNK1G3,4.26E-01,0.370590401
DAZ3,4.26E-01,0.370590401
DCTN6,4.26E-01,0.370590401
DDX28,4.26E-01,0.370590401
DDX54,4.26E-01,0.370590401
ECSCR,4.26E-01,0.370590401
ENAH,4.26E-01,0.370590401
H3F3B,4.26E-01,0.370590401
HIF3A,4.26E-01,0.370590401
HMGA2,4.26E-01,0.370590401
IGFBP7,4.26E-01,0.370590401
IL2RA,4.26E-01,0.370590401
ISY1,4.26E-01,0.370590401
ITGB3BP,4.26E-01,0.370590401
KBTBD11,4.26E-01,0.370590401
LOC100190986,4.26E-01,0.370590401
LRIG1,4.26E-01,0.370590401
LRP8,4.26E-01,0.370590401
LRRC28,4.26E-01,0.370590401
MRPL10,4.26E-01,0.370590401
MRPL17,4.26E-01,0.370590401
MSL3,4.26E-01,0.370590401
PCDHB17,4.26E-01,0.370590401
PDXDC2P,4.26E-01,0.370590401
PPIL3,4.26E-01,0.370590401
PRR20B,4.26E-01,0.370590401
PVRIG,4.26E-01,0.370590401
RPL13A,4.26E-01,0.370590401
SASH1,4.26E-01,0.370590401
SASH3,4.26E-01,0.370590401
SFSWAP,4.26E-01,0.370590401
SIRPG,4.26E-01,0.370590401
SNRPD2,4.26E-01,0.370590401
TACC1,4.26E-01,0.370590401
TCTEX1D4,4.26E-01,0.370590401
TEK,4.26E-01,0.370590401
TLK2,4.26E-01,0.370590401
TNFSF15,4.26E-01,0.370590401
TTTY23,4.26E-01,0.370590401
WBSCR22,4.26E-01,0.370590401
ZNF114,4.26E-01,0.370590401
CD8B,4.27E-01,0.369572125
CLUL1,4.27E-01,0.369572125
DNMT3B,4.27E-01,0.369572125
ELAVL1,4.27E-01,0.369572125
EPHA6,4.27E-01,0.369572125
ESM1,4.27E-01,0.369572125
GOLGA6L5P,4.27E-01,0.369572125
KNG1,4.27E-01,0.369572125
MCM10,4.27E-01,0.369572125
MROH6,4.27E-01,0.369572125
RAB31,4.27E-01,0.369572125
RPL29,4.27E-01,0.369572125
RPS24,4.27E-01,0.369572125
SLC22A18,4.27E-01,0.369572125
VEGFA,4.27E-01,0.369572125
BASP1P1,4.28E-01,0.368556231
BTNL3,4.28E-01,0.368556231
CDC25C,4.28E-01,0.368556231
CENPA,4.28E-01,0.368556231
CRISPLD1,4.28E-01,0.368556231
CTU2,4.28E-01,0.368556231
CXorf65,4.28E-01,0.368556231
FMNL3,4.28E-01,0.368556231
G3BP1,4.28E-01,0.368556231
GLYAT,4.28E-01,0.368556231
HFM1,4.28E-01,0.368556231
HTR3B,4.28E-01,0.368556231
ICMT,4.28E-01,0.368556231
IZUMO1,4.28E-01,0.368556231
KLF3,4.28E-01,0.368556231
MKRN2OS,4.28E-01,0.368556231
MPRIP,4.28E-01,0.368556231
MYOG,4.28E-01,0.368556231
RAB36,4.28E-01,0.368556231
SLC27A4,4.28E-01,0.368556231
SLC30A2,4.28E-01,0.368556231
SLC7A6,4.28E-01,0.368556231
ST3GAL1,4.28E-01,0.368556231
TNRC6C,4.28E-01,0.368556231
TRAIP,4.28E-01,0.368556231
ZC3H12D,4.28E-01,0.368556231
ZNF319,4.28E-01,0.368556231
ZNF446,4.28E-01,0.368556231
ZNF711,4.28E-01,0.368556231
ZXDA,4.28E-01,0.368556231
ATP5D,4.29E-01,0.367542708
BRWD1,4.29E-01,0.367542708
CAMK1D,4.29E-01,0.367542708
CCDC183-AS1,4.29E-01,0.367542708
CD163L1,4.29E-01,0.367542708
CDH24,4.29E-01,0.367542708
DYRK1A,4.29E-01,0.367542708
FOXRED2,4.29E-01,0.367542708
GALNT1,4.29E-01,0.367542708
GCOM1,4.29E-01,0.367542708
HIRIP3,4.29E-01,0.367542708
ICAM3,4.29E-01,0.367542708
LAMP2,4.29E-01,0.367542708
MAP1LC3A,4.29E-01,0.367542708
NID1,4.29E-01,0.367542708
PLCB4,4.29E-01,0.367542708
PTDSS1,4.29E-01,0.367542708
SLC35F3,4.29E-01,0.367542708
SLX4IP,4.29E-01,0.367542708
STRN,4.29E-01,0.367542708
TARBP1,4.29E-01,0.367542708
TIAF1,4.29E-01,0.367542708
TM9SF1,4.29E-01,0.367542708
TSKU,4.29E-01,0.367542708
UBE2L6,4.29E-01,0.367542708
YARS2,4.29E-01,0.367542708
ZNF133,4.29E-01,0.367542708
ZNF200,4.29E-01,0.367542708
ACSM6,4.30E-01,0.366531544
ACTN4,4.30E-01,0.366531544
MALL,4.30E-01,0.366531544
MRPS33,4.30E-01,0.366531544
NBPF10,4.30E-01,0.366531544
NOV,4.30E-01,0.366531544
OR9G1,4.30E-01,0.366531544
RBMY1B,4.30E-01,0.366531544
SDCBP2,4.30E-01,0.366531544
SF1,4.30E-01,0.366531544
SUMO2,4.30E-01,0.366531544
TLCD1,4.30E-01,0.366531544
TMEM218,4.30E-01,0.366531544
UQCC3,4.30E-01,0.366531544
ZFP14,4.30E-01,0.366531544
AJAP1,4.31E-01,0.36552273
BTBD3,4.31E-01,0.36552273
CHMP1B,4.31E-01,0.36552273
CRACR2B,4.31E-01,0.36552273
CYP11A1,4.31E-01,0.36552273
DDX11,4.31E-01,0.36552273
DFFB,4.31E-01,0.36552273
DLG1,4.31E-01,0.36552273
DMRT3,4.31E-01,0.36552273
ELF1,4.31E-01,0.36552273
EXOSC2,4.31E-01,0.36552273
FIG4,4.31E-01,0.36552273
GPR26,4.31E-01,0.36552273
HGD,4.31E-01,0.36552273
LEPREL4,4.31E-01,0.36552273
MIR200C,4.31E-01,0.36552273
OLAH,4.31E-01,0.36552273
POU6F2-AS1,4.31E-01,0.36552273
RAB24,4.31E-01,0.36552273
RGR,4.31E-01,0.36552273
RPL13AP5,4.31E-01,0.36552273
SHANK2,4.31E-01,0.36552273
SNORD113-7,4.31E-01,0.36552273
SYPL2,4.31E-01,0.36552273
TMEM189,4.31E-01,0.36552273
TRMT112,4.31E-01,0.36552273
WNT8A,4.31E-01,0.36552273
AASDHPPT,4.32E-01,0.364516253
CALHM1,4.32E-01,0.364516253
CCDC172,4.32E-01,0.364516253
CD3D,4.32E-01,0.364516253
CDC42EP5,4.32E-01,0.364516253
CR1L,4.32E-01,0.364516253
DBIL5P,4.32E-01,0.364516253
DISC1,4.32E-01,0.364516253
ENDOU,4.32E-01,0.364516253
FAM162B,4.32E-01,0.364516253
HLA-DRB3,4.32E-01,0.364516253
LOC391722,4.32E-01,0.364516253
LOC646938,4.32E-01,0.364516253
MIR1470,4.32E-01,0.364516253
MRPL49,4.32E-01,0.364516253
MYH13,4.32E-01,0.364516253
PLIN2,4.32E-01,0.364516253
POLN,4.32E-01,0.364516253
PRDM7,4.32E-01,0.364516253
PSMB11,4.32E-01,0.364516253
RBM27,4.32E-01,0.364516253
SNX14,4.32E-01,0.364516253
TMEM173,4.32E-01,0.364516253
TMTC1,4.32E-01,0.364516253
TTTY14,4.32E-01,0.364516253
UFM1,4.32E-01,0.364516253
YKT6,4.32E-01,0.364516253
AKT1S1,4.33E-01,0.363512104
APOL1,4.33E-01,0.363512104
BRF1,4.33E-01,0.363512104
EIF3L,4.33E-01,0.363512104
EML3,4.33E-01,0.363512104
FAM63B,4.33E-01,0.363512104
HIATL1,4.33E-01,0.363512104
HOXB2,4.33E-01,0.363512104
LOC100134091,4.33E-01,0.363512104
LOC400927,4.33E-01,0.363512104
OR4C12,4.33E-01,0.363512104
PDE1A,4.33E-01,0.363512104
PIANP,4.33E-01,0.363512104
PTPN9,4.33E-01,0.363512104
SI,4.33E-01,0.363512104
SLC26A8,4.33E-01,0.363512104
SLC2A9,4.33E-01,0.363512104
TXLNG,4.33E-01,0.363512104
YY1AP1,4.33E-01,0.363512104
ZNF671,4.33E-01,0.363512104
ATP6V0E1,4.34E-01,0.36251027
C10orf99,4.34E-01,0.36251027
C16orf86,4.34E-01,0.36251027
CHST13,4.34E-01,0.36251027
CLEC16A,4.34E-01,0.36251027
CLRN2,4.34E-01,0.36251027
CSRNP2,4.34E-01,0.36251027
FAM182B,4.34E-01,0.36251027
FSD1,4.34E-01,0.36251027
GRK4,4.34E-01,0.36251027
IQCJ,4.34E-01,0.36251027
LRRC8B,4.34E-01,0.36251027
MAPK10,4.34E-01,0.36251027
MIR2278,4.34E-01,0.36251027
ONECUT2,4.34E-01,0.36251027
SHISA3,4.34E-01,0.36251027
TAGLN,4.34E-01,0.36251027
TMTC3,4.34E-01,0.36251027
WDR90,4.34E-01,0.36251027
ZFP69,4.34E-01,0.36251027
ATF4,4.35E-01,0.361510743
AVPR1A,4.35E-01,0.361510743
C1orf54,4.35E-01,0.361510743
CXorf51B,4.35E-01,0.361510743
DIEXF,4.35E-01,0.361510743
DYRK3,4.35E-01,0.361510743
FAM64A,4.35E-01,0.361510743
FCHO2,4.35E-01,0.361510743
FHL3,4.35E-01,0.361510743
FXYD5,4.35E-01,0.361510743
HSD11B1,4.35E-01,0.361510743
LGALS8,4.35E-01,0.361510743
MIR299,4.35E-01,0.361510743
MIR488,4.35E-01,0.361510743
MIR557,4.35E-01,0.361510743
MXRA7,4.35E-01,0.361510743
NEFH,4.35E-01,0.361510743
PPAN-P2RY11,4.35E-01,0.361510743
SCCPDH,4.35E-01,0.361510743
SCYL2,4.35E-01,0.361510743
SMC6,4.35E-01,0.361510743
SOCS6,4.35E-01,0.361510743
TM9SF1,4.35E-01,0.361510743
WLS,4.35E-01,0.361510743
ACLY,4.36E-01,0.360513511
C12orf50,4.36E-01,0.360513511
CENPVP2,4.36E-01,0.360513511
COL6A4P2,4.36E-01,0.360513511
DMBT1,4.36E-01,0.360513511
EIF1AX,4.36E-01,0.360513511
FARP1,4.36E-01,0.360513511
GALNT1,4.36E-01,0.360513511
GTF2A1,4.36E-01,0.360513511
GYPC,4.36E-01,0.360513511
IFNW1,4.36E-01,0.360513511
IPO5,4.36E-01,0.360513511
KANSL3,4.36E-01,0.360513511
KIAA1429,4.36E-01,0.360513511
KLHL9,4.36E-01,0.360513511
KRTDAP,4.36E-01,0.360513511
LOC100505715,4.36E-01,0.360513511
LOC728989,4.36E-01,0.360513511
LRRC23,4.36E-01,0.360513511
MAPK8,4.36E-01,0.360513511
MBLAC2,4.36E-01,0.360513511
MCM5,4.36E-01,0.360513511
MIR205HG,4.36E-01,0.360513511
MLC1,4.36E-01,0.360513511
MR1,4.36E-01,0.360513511
NELFCD,4.36E-01,0.360513511
NLRP3,4.36E-01,0.360513511
OCIAD2,4.36E-01,0.360513511
OR2T10,4.36E-01,0.360513511
PDPK1,4.36E-01,0.360513511
PIR,4.36E-01,0.360513511
PRR20A,4.36E-01,0.360513511
RPL38,4.36E-01,0.360513511
SLC13A3,4.36E-01,0.360513511
SPATS2L,4.36E-01,0.360513511
TMEM38B,4.36E-01,0.360513511
TUBB4A,4.36E-01,0.360513511
VANGL2,4.36E-01,0.360513511
WDR55,4.36E-01,0.360513511
ZNF485,4.36E-01,0.360513511
ACTBL2,4.37E-01,0.359518563
ANKRD18A,4.37E-01,0.359518563
ARHGAP8,4.37E-01,0.359518563
C14orf180,4.37E-01,0.359518563
DYRK3,4.37E-01,0.359518563
MAPK10,4.37E-01,0.359518563
MEGF9,4.37E-01,0.359518563
NDUFS3,4.37E-01,0.359518563
OR52B4,4.37E-01,0.359518563
PCDH11X,4.37E-01,0.359518563
PIKFYVE,4.37E-01,0.359518563
PRAMEF22,4.37E-01,0.359518563
RFX4,4.37E-01,0.359518563
RHOJ,4.37E-01,0.359518563
SPARCL1,4.37E-01,0.359518563
TRAPPC11,4.37E-01,0.359518563
TRPV1,4.37E-01,0.359518563
TSPAN12,4.37E-01,0.359518563
ZFP3,4.37E-01,0.359518563
C6orf57,4.38E-01,0.358525889
CCDC109B,4.38E-01,0.358525889
CLOCK,4.38E-01,0.358525889
CRYZL1,4.38E-01,0.358525889
CTSL,4.38E-01,0.358525889
DEFB104A,4.38E-01,0.358525889
EPM2A,4.38E-01,0.358525889
GPM6B,4.38E-01,0.358525889
GPR113,4.38E-01,0.358525889
GPR157,4.38E-01,0.358525889
IL25,4.38E-01,0.358525889
KCNK13,4.38E-01,0.358525889
NFATC2IP,4.38E-01,0.358525889
PGM5,4.38E-01,0.358525889
SCARNA16,4.38E-01,0.358525889
STX11,4.38E-01,0.358525889
TACR1,4.38E-01,0.358525889
TMEM161A,4.38E-01,0.358525889
CHIA,4.39E-01,0.35753548
CNR1,4.39E-01,0.35753548
FAM159A,4.39E-01,0.35753548
FAM223B,4.39E-01,0.35753548
FANCB,4.39E-01,0.35753548
FBXO42,4.39E-01,0.35753548
GDPD3,4.39E-01,0.35753548
LOC100132215,4.39E-01,0.35753548
OR10J1,4.39E-01,0.35753548
OR13C3,4.39E-01,0.35753548
OR4F5,4.39E-01,0.35753548
PTTG2,4.39E-01,0.35753548
REG3A,4.39E-01,0.35753548
TAPBP,4.39E-01,0.35753548
TEX13A,4.39E-01,0.35753548
TPM4,4.39E-01,0.35753548
ARHGAP25,4.40E-01,0.356547324
BEST4,4.40E-01,0.356547324
DHFR,4.40E-01,0.356547324
GSS,4.40E-01,0.356547324
KRTAP4-1,4.40E-01,0.356547324
LATS1,4.40E-01,0.356547324
MAFA,4.40E-01,0.356547324
SCMH1,4.40E-01,0.356547324
TBC1D8B,4.40E-01,0.356547324
TMEM209,4.40E-01,0.356547324
AK4,4.41E-01,0.355561411
ATP2C1,4.41E-01,0.355561411
C4orf47,4.41E-01,0.355561411
CCDC69,4.41E-01,0.355561411
CENPL,4.41E-01,0.355561411
CEP44,4.41E-01,0.355561411
EBI3,4.41E-01,0.355561411
EI24,4.41E-01,0.355561411
ERGIC3,4.41E-01,0.355561411
KATNAL1,4.41E-01,0.355561411
MCHR2,4.41E-01,0.355561411
MCM2,4.41E-01,0.355561411
MGAT3,4.41E-01,0.355561411
MND1,4.41E-01,0.355561411
PIAS2,4.41E-01,0.355561411
PTGES3L-AARSD1,4.41E-01,0.355561411
SLC30A9,4.41E-01,0.355561411
STRBP,4.41E-01,0.355561411
TBR1,4.41E-01,0.355561411
TMEM72-AS1,4.41E-01,0.355561411
YIPF2,4.41E-01,0.355561411
ZNF648,4.41E-01,0.355561411
ANKUB1,4.42E-01,0.354577731
ARRB2,4.42E-01,0.354577731
FBXW2,4.42E-01,0.354577731
LYNX1,4.42E-01,0.354577731
P4HTM,4.42E-01,0.354577731
PDZK1,4.42E-01,0.354577731
RPL26,4.42E-01,0.354577731
RUNX1T1,4.42E-01,0.354577731
SPATA31A7,4.42E-01,0.354577731
ZNF623,4.42E-01,0.354577731
AGBL5,4.43E-01,0.353596274
AGTRAP,4.43E-01,0.353596274
ATG4A,4.43E-01,0.353596274
BCAP29,4.43E-01,0.353596274
CDC42BPA,4.43E-01,0.353596274
FAIM,4.43E-01,0.353596274
FKBP7,4.43E-01,0.353596274
GPS2,4.43E-01,0.353596274
HOXA9,4.43E-01,0.353596274
IMPG2,4.43E-01,0.353596274
KIF23,4.43E-01,0.353596274
LSM1,4.43E-01,0.353596274
MOCS1,4.43E-01,0.353596274
PIK3R1,4.43E-01,0.353596274
RFPL3S,4.43E-01,0.353596274
SMAD9,4.43E-01,0.353596274
CALML3-AS1,4.44E-01,0.35261703
COL4A3BP,4.44E-01,0.35261703
CXCL6,4.44E-01,0.35261703
DNASE1L1,4.44E-01,0.35261703
EIF1AX,4.44E-01,0.35261703
ENDOV,4.44E-01,0.35261703
GLDC,4.44E-01,0.35261703
KCNG3,4.44E-01,0.35261703
KLHL14,4.44E-01,0.35261703
PEX3,4.44E-01,0.35261703
PRR16,4.44E-01,0.35261703
PTPRR,4.44E-01,0.35261703
REEP5,4.44E-01,0.35261703
RLIM,4.44E-01,0.35261703
SNORD88B,4.44E-01,0.35261703
SYF2,4.44E-01,0.35261703
TATDN3,4.44E-01,0.35261703
TCTA,4.44E-01,0.35261703
TCTN3,4.44E-01,0.35261703
TMEM237,4.44E-01,0.35261703
ZNF124,4.44E-01,0.35261703
ZNF174,4.44E-01,0.35261703
ARHGEF4,4.45E-01,0.351639989
BAZ1A,4.45E-01,0.351639989
CCT8L2,4.45E-01,0.351639989
CNNM3,4.45E-01,0.351639989
DFNB59,4.45E-01,0.351639989
DNAJC4,4.45E-01,0.351639989
GPBAR1,4.45E-01,0.351639989
HRH4,4.45E-01,0.351639989
